dataset: images/simple; image_size: (200, 200); number_of_iterations: 30; coding_method: 3; selection_method: 3; mutation_type: 3; crossover_rate: 0.1; scores: {'2007_000033': 0.0806, '2007_000042': 0.0, '2007_000063': 0.0729, '2007_000068': 0.17745, '2007_000121': 0.3154, '2007_000123': 0.048, '2007_000129': 0.100125, '2007_000170': 0.0, '2007_000175': 0.0, '2007_000187': 0.0, '2007_000323': 0.0}; pdf_file: ga_2021_04_25T11_31.pdf;
dataset: images/simple; image_size: (200, 200); number_of_iterations: 30; coding_method: 3; selection_method: 3; mutation_type: 3; crossover_rate: 0.1; scores: {'2007_000032': 0.0389, '2007_000033': 0.055425, '2007_000063': 0.0, '2007_000068': 0.0, '2007_000121': 0.152525, '2007_000123': 0.0, '2007_000129': 0.1002, '2007_000170': 0.0, '2007_000175': 0.15895, '2007_000187': 0.0, '2007_000243': 0.0974, '2007_000250': 0.04145, '2007_000256': 0.20835}; pdf_file: ga_2021_04_25T11_57.pdf; 
dataset: images/simple; image_size: (200, 200); number_of_iterations: 30; coding_method: 3; selection_method: 3; mutation_type: 3; crossover_rate: 0.1; scores: {'2007_000032': 0.1925, '2007_000033': 0.05855, '2007_000063': 0.0542, '2007_000068': 0.04245, '2007_000121': 0.1085, '2007_000123': 0.0, '2007_000129': 0.2051, '2007_000170': 0.03985, '2007_000175': 0.151875, '2007_000243': 0.2094, '2007_000250': 0.031875, '2007_000256': 0.14745, '2007_000323': 0.0}; pdf_file: ga_2021_04_25T12_22.pdf; 
dataset: images/simple; image_size: (200, 200); number_of_iterations: 30; coding_method: 3; selection_method: 3; mutation_type: 3; crossover_rate: 0.1; scores: {'2007_000032': 0.1925, '2007_000033': 0.05855, '2007_000063': 0.0542, '2007_000068': 0.04245, '2007_000121': 0.1085, '2007_000123': 0.0, '2007_000129': 0.2051, '2007_000170': 0.03985, '2007_000175': 0.151875, '2007_000243': 0.2094, '2007_000250': 0.031875, '2007_000256': 0.14745, '2007_000323': 0.0}; pdf_file: ga_2021_04_25T12_40.pdf; 
dataset: images/simple; image_size: (200, 200); number_of_iterations: 50; coding_method: 3; selection_method: 3; mutation_type: 3; crossover_rate: 0.1; scores: {'2007_000032': 0.007075, '2007_000042': 0.19435, '2007_000063': 0.14315, '2007_000068': 0.0, '2007_000121': 0.28975, '2007_000123': 0.17295, '2007_000129': 0.0, '2007_000170': 0.000475, '2007_000175': 0.1585, '2007_000187': 0.1169, '2007_000243': 0.115975, '2007_000256': 0.1396, '2007_000323': 0.0}; pdf_file: ga_2021_04_27T19_19.pdf; 
dataset: images/simple; image_size: (200, 200); number_of_iterations: 5; coding_method: 0; selection_method: 1; mutation_type: 3; crossover_rate: 0.1; scores: {'2007_000032': 0.0304, '2007_000033': 0.0, '2007_000042': 0.0, '2007_000063': 0.0, '2007_000123': 0.024525, '2007_000175': 0.02395, '2007_000187': 0.06905, '2007_000243': 0.0}; pdf_file: ga_2021_04_27T19_23.pdf; 
dataset: images/simple; image_size: (200, 200); number_of_iterations: 10; coding_method: 0; selection_method: 1; mutation_type: 3; crossover_rate: 0.1; scores: {'2007_000032': 0.059425, '2007_000033': 0.1731, '2007_000042': 0.0, '2007_000063': 0.01295, '2007_000068': 0.0, '2007_000121': 0.20995, '2007_000129': 0.0, '2007_000170': 0.0, '2007_000175': 0.06075, '2007_000187': 0.040175, '2007_000243': 0.0188, '2007_000250': 0.156925, '2007_000256': 0.0}; pdf_file: ga_2021_04_27T19_28.pdf; 
dataset: images/simple; image_size: (200, 200); number_of_iterations: 15; coding_method: 0; selection_method: 2; mutation_type: 3; crossover_rate: 0.1; scores: {'2007_000032': 0.36355, '2007_000033': 0.3405, '2007_000042': 0.0, '2007_000063': 0.0609, '2007_000068': 0.083725, '2007_000121': 0.34375, '2007_000123': 0.228125, '2007_000170': 0.1322, '2007_000175': 0.0, '2007_000187': 0.3466, '2007_000250': 0.0, '2007_000256': 0.092275}; pdf_file: ga_2021_04_27T19_35.pdf; 
dataset: images/simple; image_size: (200, 200); number_of_iterations: 20; coding_method: 0; selection_method: 1; mutation_type: 3; crossover_rate: 0.1; scores: {'2007_000033': 0.187, '2007_000042': 0.0, '2007_000068': 0.135275, '2007_000121': 0.35295, '2007_000123': 0.12585, '2007_000129': 0.0, '2007_000170': 0.077975, '2007_000175': 0.02395, '2007_000187': 0.104425, '2007_000243': 0.01515, '2007_000250': 0.00185, '2007_000256': 0.18905, '2007_000323': 0.1787}; pdf_file: ga_2021_04_27T19_45.pdf; 
dataset: images/simple; image_size: (200, 200); number_of_iterations: 25; coding_method: 0; selection_method: 1; mutation_type: 3; crossover_rate: 0.1; scores: {'2007_000032': 0.0, '2007_000033': 0.1266, '2007_000042': 0.0, '2007_000063': 0.034425, '2007_000068': 0.02965, '2007_000121': 0.3761, '2007_000175': 0.06075, '2007_000187': 0.0, '2007_000256': 0.089775, '2007_000323': 0.04645}; pdf_file: ga_2021_04_27T20_07.pdf; 
dataset: images/simple; image_size: (200, 200); number_of_iterations: 15; coding_method: 0; selection_method: 1; mutation_type: 3; crossover_rate: 0.2; scores: {'2007_000032': 0.0, '2007_000033': 0.0, '2007_000042': 0.0, '2007_000063': 0.02865, '2007_000068': 0.0, '2007_000121': 0.227075, '2007_000123': 0.2356, '2007_000170': 0.0427, '2007_000175': 0.045275, '2007_000187': 0.0, '2007_000256': 0.45385, '2007_000323': 0.0}; pdf_file: ga_2021_04_27T20_17.pdf; 
